Load;Heat;Wind
335.6107489;772.0132439;128.715
329.8273811;773.3594433;127.49
324.9788235;764.0067807;124.9975
321.4805011;745.9346329;122.4875
319.7606106;714.7905862;129.8225
319.7732911;720.2252777;117.8425
321.6976172;683.5409651;131.7325
326.5582133;659.932044;147.27
332.0205273;653.5368205;129.37
332.7874193;636.2167632;145.7175
334.8962666;625.7745204;152.0125
337.5984595;622.6349633;144.16
339.9563651;620.2664812;153.8225
340.1317136;644.1951221;156.1425
340.5366352;634.7108162;179.335
346.3079918;634.5618458;172.0475
361.6749877;632.850465;166.59
375.1255875;644.3767943;125.8425
370.5616338;632.925514;138.455
367.1500821;626.7999719;148.97
362.5351638;613.4114225;137.57
355.9961885;595.6458078;142.8025
346.4319778;581.1836473;151.105
334.768457;571.3950313;156.3525
326.1311294;560.6854532;155.3225
320.6229094;550.1183926;140.8175
317.3067739;535.5317322;152.95
316.774121;525.3133886;146.625
316.4348137;526.8444431;139.005
320.2255938;525.3638121;134.42
326.6869228;540.2783857;145.8075
336.6730073;555.8996885;167.71
348.1061283;574.2632884;168.7375
352.204747;567.3882008;175.4325
357.2615927;569.8673376;186.425
363.1857418;584.9174571;182.4175
363.347238;583.1459795;183.8275
362.2599549;573.6260606;158.14
359.7073609;566.9481905;178.15
361.0533329;554.4592467;162.6075
370.7999558;551.5374042;137.24
386.9466826;573.8633283;123.5225
380.812941;574.062627;89.9575
376.2152472;583.8151317;72.405
370.7800394;585.3346216;49.605
361.7984307;578.6870293;43.45
346.8205756;584.3648393;38.495
331.9286627;581.7539123;36.305
321.425973;564.031125;30.485
314.9230794;556.9091317;25.155
312.3774368;563.6298939;22.55
310.3564645;549.6992903;18.9375
312.2447629;548.5007223;16.8725
320.3021531;558.4967116;8.91
336.9971448;570.6862721;4.11
352.6113003;598.4401828;2.335
360.4925909;619.6986544;2.0725
359.2084117;630.6344718;4.6
362.7897188;636.2611033;3.99
367.0623462;634.2301445;3.8875
367.6151353;629.1854679;3.0475
368.2502465;632.9557272;5.8325
368.2663661;644.087112;5.2475
370.9777391;660.825471;4.915
382.0125441;670.2474688;4.4525
394.7311729;665.3985664;4.7575
388.8160214;627.5378967;4.3225
381.4500188;592.7033979;6.64
374.1873541;587.0482443;4.535
364.2961456;602.4256503;7.88
349.9550241;601.0715952;5.6425
334.4137415;592.4436161;8.18
324.8094105;623.2586404;3.905
318.7391279;618.0959837;3.625
314.188244;574.3658427;4.2425
313.2823339;557.1866257;4.0575
313.88407;543.5080534;4.0175
321.3977392;550.107633;5.5725
337.1063004;547.0899945;4.405
353.0341893;567.8489224;5.895
364.5991716;575.8812434;7.945
365.4618607;582.1407431;7.9225
366.2412513;571.5918753;6.58
367.2922466;591.1228063;7.8425
366.4123066;609.860699;10.1475
364.7508044;624.9035111;13.335
364.4530902;626.0294193;12.5875
365.9701268;613.4624645;16.3275
375.6661471;610.8382372;22.6275
388.2898601;632.3745061;13.17
383.0578313;622.8076857;21.28
377.241915;613.9523014;33.3025
371.5239095;619.2110013;43.6075
362.8084211;636.7607996;44.7675
349.2272129;624.7364671;44.7275
333.576087;608.179288;49.79
324.5698408;599.8534311;34.0425
320.1991009;609.2637561;41.5125
315.7200682;627.0705353;36.8375
315.3768366;613.7438384;35.095
317.38474;609.71811;29.1775
325.3898955;617.9399332;33.3675
343.0075484;638.0352875;28.86
360.4333427;681.4307807;23.485
369.7370555;712.5947434;28.3075
369.3107581;736.20245;46.35
370.8583538;729.2954169;51.7775
371.4335602;713.4353888;43.58
370.2488931;704.7751963;41.7
371.1929817;697.425467;38.4025
370.6210644;684.8608734;40.4275
370.6863888;701.3370997;29.68
380.938992;712.0371724;22.615
394.4206022;726.7016926;16.2225
388.8290856;743.0740962;17.5675
385.5661169;733.8449282;21.56
379.2610405;673.3399095;20.9675
370.3029121;638.2045776;16.3825
356.2663578;605.9961082;10.9675
342.4268322;586.1415806;9.2525
331.9732556;602.9702974;10.6875
325.1369331;566.8484905;8.8925
321.6188045;578.7662695;4.665
320.1814359;599.9097841;5.3325
321.2986135;619.4686102;4.24
328.1460225;640.7537908;3.925
343.6089904;667.428038;7.7625
361.3755048;714.1879988;11.8325
370.8766672;755.8456681;8.8
369.3010793;790.2837136;9.37
369.7269639;814.5602592;20.8875
371.1493695;826.2306083;24.0775
370.2937994;813.4039427;25.04
369.9937562;817.8463093;23.14
367.9564249;821.4232718;21.495
369.3958384;822.1677431;29.325
377.0870893;794.6078273;27.925
390.5391446;799.6381391;30.5875
385.5939527;786.2883681;26.145
379.9968988;775.691152;30.165
374.8583589;767.4917177;29.7425
367.3668943;697.2373806;25.91
355.0032077;665.7346808;27.95
